id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
20972246,2011/05/19 3:14 AM CEST,2011-05-19,2011-05-19 01:14:00 UTC,Paris,1506822,maridom,2019-03-05 16:29:09 UTC,2020-02-04 15:13:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/20972246,https://inaturalist-open-data.s3.amazonaws.com/photos/32384343/medium.jpg?1551803326,,"",corallium rubrum / Colera 2011,3,0,false,,"17496 Colera, Girona, Espagne",42.404084,3.1522419,496,496,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
26178607,2011/05/19 3:16 AM CEST,2011-05-19,2011-05-19 01:16:00 UTC,Paris,1506822,maridom,2019-06-01 14:53:45 UTC,2020-02-04 15:13:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/26178607,https://inaturalist-open-data.s3.amazonaws.com/photos/40627854/medium.jpg?1559400783,,"",,2,0,false,,"Colera, Gérone, Espagne",42.4075063139,3.1615114873,496,496,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
27292949,2019-06-18,2019-06-18,,Rome,1075411,andreasarri,2019-06-19 22:45:27 UTC,2019-06-20 11:14:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/27292949,https://inaturalist-open-data.s3.amazonaws.com/photos/42449152/medium.jpeg?1560984325,,"","",2,0,false,,"Livorno, Toscana, IT",43.471695,10.332177,24,24,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
27438875,2019-06-21,2019-06-21,,Rome,1075411,andreasarri,2019-06-22 15:40:13 UTC,2019-06-22 15:55:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/27438875,https://inaturalist-open-data.s3.amazonaws.com/photos/42693290/medium.jpeg?1561218010,,"","",1,0,false,,Calafuria,43.471904,10.331505,24,24,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
27439422,2019-06-21,2019-06-21,,Rome,1075411,andreasarri,2019-06-22 15:48:55 UTC,2019-08-03 14:09:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/27439422,https://inaturalist-open-data.s3.amazonaws.com/photos/42694169/medium.jpeg?1561218532,,"","",2,0,false,,Calafuria,43.471992,10.331514,12,12,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
28019256,2019/06/16 2:21 PM BST,2019-06-16,2019-06-16 13:21:00 UTC,Europe/London,175009,jujurenoult,2019-07-01 21:20:01 UTC,2019-07-02 03:09:36 UTC,research,CC-BY,https://www.inaturalist.org/observations/28019256,https://inaturalist-open-data.s3.amazonaws.com/photos/43645465/medium.jpeg?1562013653,,"",,1,0,false,,"Presqu'île de Giens, 83400 Hyères, France",43.0300070024,6.094589961,55,55,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
28019262,2019/06/16 2:26 PM BST,2019-06-16,2019-06-16 13:26:00 UTC,Europe/London,175009,jujurenoult,2019-07-01 21:20:06 UTC,2019-07-02 03:09:35 UTC,research,CC-BY,https://www.inaturalist.org/observations/28019262,https://inaturalist-open-data.s3.amazonaws.com/photos/43645671/medium.jpeg?1562013808,,"",,1,0,false,,"Presqu'île de Giens, 83400 Hyères, France",43.0300070024,6.094589961,55,55,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
31182191,Tue Aug 20 2019 17:01:01 GMT+0200 (GMT+2),2019-08-20,2019-08-20 15:01:01 UTC,Africa/Johannesburg,2033249,gianpierojj,2019-08-20 15:59:35 UTC,2019-08-20 17:46:33 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/31182191,https://inaturalist-open-data.s3.amazonaws.com/photos/48777631/medium.jpg?1566316780,,"",,0,1,false,3,"Mar Ionio, Sicilia, IT",37.86252,15.2983883333,2000,2000,,,false,,,,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
31933776,2018/08/31 11:09 AM UTC,2018-08-31,,UTC,149160,ronald63,2019-09-01 18:39:00 UTC,2019-09-05 23:29:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/31933776,https://inaturalist-open-data.s3.amazonaws.com/photos/50031621/medium.jpeg?1567363094,,"","",2,0,false,,"Grosseto, Toscana, IT",42.4145493493,11.0866404291,1153,1153,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
32192010,2019-09-05,2019-09-05,,Rome,1075411,andreasarri,2019-09-06 00:04:18 UTC,2019-09-06 06:58:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/32192010,https://inaturalist-open-data.s3.amazonaws.com/photos/50467128/medium.jpeg?1567728255,,"","",2,0,false,,calafuria,43.470704,10.33351,48,48,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
32264684,2019-09-06,2019-09-06,,Rome,1075411,andreasarri,2019-09-07 13:24:14 UTC,2019-09-07 18:24:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/32264684,https://inaturalist-open-data.s3.amazonaws.com/photos/50590236/medium.jpeg?1567862652,,"","",1,0,false,,calafuria,43.470722,10.333429,24,24,,,false,,,Corail rouge de Méditerranée,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
32264927,2019-09-06,2019-09-06,,Rome,1075411,andreasarri,2019-09-07 13:30:26 UTC,2019-09-08 00:35:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/32264927,https://inaturalist-open-data.s3.amazonaws.com/photos/50590643/medium.jpeg?1567863024,,"","",2,0,false,,"Livorno, Toscana, IT",43.470753,10.333478,24,24,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
32265656,2019-09-06,2019-09-06,,Rome,1075411,andreasarri,2019-09-07 13:44:35 UTC,2019-09-08 00:35:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/32265656,https://inaturalist-open-data.s3.amazonaws.com/photos/50591903/medium.jpeg?1567863874,,"","",2,0,false,,calafuria,43.470998,10.333626,24,24,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
32266448,2019-09-02,2019-09-02,,Rome,1075411,andreasarri,2019-09-07 13:58:26 UTC,2019-09-08 00:35:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/32266448,https://inaturalist-open-data.s3.amazonaws.com/photos/50593262/medium.jpeg?1567864704,,"","",2,0,false,,calafuria,43.471638,10.331806,48,48,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
32267390,2019-09-02,2019-09-02,,Rome,1075411,andreasarri,2019-09-07 14:11:25 UTC,2019-09-07 18:20:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/32267390,https://inaturalist-open-data.s3.amazonaws.com/photos/50594496/medium.jpg?1567865482,,"","",1,0,false,,calafuria,43.471787,10.33179,48,48,,,false,,,Corail rouge de Méditerranée,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
33598423,2019/09/27 8:33 AM +0100,2019-09-27,2019-09-27 07:33:00 UTC,Casablanca,762037,carmenbdelossantos,2019-09-29 16:52:35 UTC,2019-09-30 11:57:16 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/33598423,https://inaturalist-open-data.s3.amazonaws.com/photos/52781352/medium.jpeg?1569775184,,"","",2,0,false,,Spain,42.1292007151,3.3531709593,43,27692,obscured,,true,,"",Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
33858514,2015-07-04T08:47:00+00:00,2015-07-04,2015-07-04 08:47:00 UTC,Amsterdam,416151,bernatpescaire,2019-10-04 20:28:26 UTC,2019-10-25 22:53:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/33858514,https://static.inaturalist.org/photos/54970131/medium.jpeg?1572044019,,"",,1,0,false,,"Girona, ES-CT, ES",41.8577379364,3.1867849932,219,219,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
33859235,2015-06-13T04:46:00+00:00,2015-06-13,2015-06-13 04:46:00 UTC,Amsterdam,416151,bernatpescaire,2019-10-04 20:40:14 UTC,2019-10-25 23:06:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/33859235,https://static.inaturalist.org/photos/54971086/medium.jpeg?1572044811,,"",,1,0,false,,"Girona, ES-CT, ES",42.0733333,3.2052778,4410,4410,,,false,,,Corail rouge de Méditerranée,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
34400184,2018/08/10 8:58 AM CEST,2018-08-10,2018-08-10 06:58:00 UTC,Paris,2236269,pierrecorbrion,2019-10-15 08:47:43 UTC,2019-10-15 11:16:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/34400184,https://inaturalist-open-data.s3.amazonaws.com/photos/54136628/medium.jpeg?1571129078,,"",,1,0,false,,"Pyrénées-Orientales, Languedoc-Roussillon, FR",42.4788635838,3.1541511933,122,122,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
35333560,2019-04-30T21:38:00+00:00,2019-04-30,2019-04-30 21:38:00 UTC,Paris,2316986,josepvilanova,2019-11-05 18:01:36 UTC,2020-01-04 18:53:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/35333560,https://static.inaturalist.org/photos/55707676/medium.jpeg?1572976895,,"",,1,0,false,,"Girona, ES-CT, ES",41.9639695529,3.2284508236,,,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
35417717,2019/09/27 10:50 AM +0100,2019-09-27,2019-09-27 09:50:00 UTC,Casablanca,762037,carmenbdelossantos,2019-11-07 18:52:51 UTC,2019-11-08 11:34:11 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/35417717,https://inaturalist-open-data.s3.amazonaws.com/photos/55845859/medium.jpeg?1573152322,,"",,2,0,false,,,,,28,27692,private,,true,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
35587743,2003/08/07 10:27 PM CEST,2003-08-07,2003-08-07 20:27:00 UTC,Berlin,1176208,marco_vicariotto,2019-11-11 22:56:03 UTC,2019-11-11 22:56:03 UTC,needs_id,CC-BY-NC-ND,https://www.inaturalist.org/observations/35587743,https://inaturalist-open-data.s3.amazonaws.com/photos/56130273/medium.jpg?1573511802,,"",dav,0,0,false,,"58100 Principina a Mare GR, Italia",42.6897285787,10.9962639516,244,244,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
37676440,2020/01/08 11:56 AM CET,2020-01-08,2020-01-08 10:56:00 UTC,Amsterdam,416151,bernatpescaire,2020-01-17 09:51:16 UTC,2020-03-12 16:16:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37676440,https://inaturalist-open-data.s3.amazonaws.com/photos/59778270/medium.jpg?1579254650,,"00 Medi Ambient, Anthozoa, Cnidaris, Corallium rubrum, Invertebrats, Octocorallia",,3,0,false,,"Girona, Cataluña, Spain",42.0472827383,3.22583383,,,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
37991848,2019/09/27 9:03 PM CEST,2019-09-27,2019-09-27 19:03:00 UTC,Amsterdam,416151,bernatpescaire,2020-01-26 17:25:06 UTC,2020-01-26 20:40:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/37991848,https://inaturalist-open-data.s3.amazonaws.com/photos/60314898/medium.jpg?1580059459,,"00 Medi Ambient, Anthozoa, Cnidaris, Corallium rubrum, Invertebrats, Octocorallia",,1,0,false,,"Girona, Cataluña, Spain",41.96442399,3.230403515,,,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
40759189,2009-06-03 2:16:29 PM GMT+02:00,2009-06-03,2009-06-03 12:16:29 UTC,Africa/Johannesburg,2544590,marcocruscanti,2020-03-26 16:04:41 UTC,2020-03-26 16:11:28 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/40759189,https://static.inaturalist.org/photos/64611581/medium.jpeg?1585238687,,"",,1,0,false,2,,,,21725,27474,private,,true,gps,gps,Corail rouge de Méditerranée,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
41097432,2014/07/15 10:08 AM +0200,2014-07-15,2014-07-15 08:08:00 UTC,Africa/Johannesburg,782891,mazancourt,2020-03-31 10:14:17 UTC,2020-06-20 19:36:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41097432,https://inaturalist-open-data.s3.amazonaws.com/photos/65165579/medium.jpg?1585649317,,"",,2,0,false,,Canyons de Tamariu,41.9222901994,3.2262690001,139,139,,,false,,,Corallium rubrum,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
41885257,2018/05/20 8:50 AM CEST,2018-05-20,2018-05-20 06:50:00 UTC,Paris,2697617,capac,2020-04-11 05:17:46 UTC,2020-04-11 05:48:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41885257,https://inaturalist-open-data.s3.amazonaws.com/photos/66466524/medium.jpg?1586582225,,"","",1,0,false,,"Provincia di Messina, Italia",38.4996950506,14.9706756881,977,977,,,false,,,Mediterranean Red Coral,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
45962650,2017/09/19 9:41 AM CEST,2017-09-19,2017-09-19 07:41:00 UTC,Amsterdam,1328346,gbiscop,2020-05-15 12:20:19 UTC,2020-05-15 18:51:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/45962650,https://inaturalist-open-data.s3.amazonaws.com/photos/72898933/medium.jpg?1589545201,,"Callela, Corallium rubrum, Koraal, Middellandse Zee",,1,0,false,,La Calella,42.0599517988,3.212953398,19,19,,,false,,,Corail rouge de Méditerranée,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
45968526,2019/09/15 10:54 AM CEST,2019-09-15,2019-09-15 08:54:00 UTC,Amsterdam,1328346,gbiscop,2020-05-15 13:47:52 UTC,2020-05-15 17:15:27 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/45968526,https://inaturalist-open-data.s3.amazonaws.com/photos/72908209/medium.jpg?1589550385,,Illa Pedrosa,,1,0,false,,"Illa Pedrosa, 17257, Girona, Spanje",42.0736111,3.2055556,54,54,,,false,,,Mediterranean Red Coral,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
49309774,2020/06/11 10:50 AM CEST,2020-06-11,2020-06-11 08:50:00 UTC,Amsterdam,416151,bernatpescaire,2020-06-12 08:24:23 UTC,2020-06-14 22:45:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/49309774,https://inaturalist-open-data.s3.amazonaws.com/photos/78276765/medium.jpg?1591950213,,"00 Medi Ambient, Anthozoa, Cnidaris, Corallium rubrum, Invertebrats, Octocorallia",,2,0,false,,"Girona, Cataluña, Spain",42.0846629383,3.1972466483,,,,,false,,,Mediterranean Red Coral,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
51123797,2020/06/27 11:02 AM CEST,2020-06-27,2020-06-27 09:02:00 UTC,Amsterdam,416151,bernatpescaire,2020-06-27 18:08:17 UTC,2020-06-29 23:48:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/51123797,https://inaturalist-open-data.s3.amazonaws.com/photos/81208943/medium.jpg?1593281255,,"00 Medi Ambient, Anthozoa, Cnidaris, Corallium rubrum, Invertebrats, Octocorallia",,2,0,false,,"Girona, ES-CT, ES",42.1046967331,3.1804414107,31,31,,,false,,,Corail rouge de Méditerranée,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
57551572,2009/08/15 5:39 PM CEST,2009-08-15,2009-08-15 15:39:00 UTC,Madrid,3440213,tonitofa,2020-08-25 15:41:43 UTC,2020-08-25 15:47:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/57551572,https://inaturalist-open-data.s3.amazonaws.com/photos/91807978/medium.jpg?1598369971,,"",Corallium rubrum. Illes Formigues.,1,0,false,,Illes Formigues,41.8634939,3.1852151,1615,1615,,,false,,,Corail rouge de Méditerranée,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
58075741,2020/08/20 5:41 PM CEST,2020-08-20,2020-08-20 15:41:00 UTC,Paris,2316986,josepvilanova,2020-08-30 20:41:28 UTC,2020-08-31 08:52:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/58075741,https://inaturalist-open-data.s3.amazonaws.com/photos/92686564/medium.jpg?1598820062,,"00 Medi Ambient, Anthozoa, Cnidaris, Coraligen, Corallium rubrum, Invertebrats, L'Escala, Montgrí, Octocorallia, Tunel de les Cambres, corall vermell",,1,0,false,,"Tunel de Cambres, Montgrí,L'Escala, Girona, Espanya",42.1113701129,3.1762405232,124,124,,,false,,,Coral Rojo,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
59558060,2020/09/13 9:45 AM CEST,2020-09-13,2020-09-13 07:45:00 UTC,Paris,2697617,capac,2020-09-14 09:23:55 UTC,2020-09-14 10:54:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/59558060,https://inaturalist-open-data.s3.amazonaws.com/photos/95171478/medium.jpg?1600075407,,"","",1,0,false,,"Punta di Pizzaco, 80079 Procida NA, Italia",40.7499387183,14.0252314092,122,122,,,false,,,Mediterranean Red Coral,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
59953680,2020/09/11 3:55 PM CEST,2020-09-11,2020-09-11 13:55:00 UTC,Paris,2047950,luismartinezartola,2020-09-18 10:13:53 UTC,2020-09-18 10:32:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/59953680,https://inaturalist-open-data.s3.amazonaws.com/photos/95834540/medium.jpeg?1600424007,,"",,1,0,false,,"Girona, ES-CT, ES",42.0457392004,3.2242271491,977,977,,,false,,,Coral Rojo,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
60413923,2020/09/20 10:13 AM UTC,2020-09-20,2020-09-20 10:13:00 UTC,UTC,149160,ronald63,2020-09-22 13:20:33 UTC,2020-09-22 15:59:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/60413923,https://inaturalist-open-data.s3.amazonaws.com/photos/96602445/medium.jpeg?1600780798,,"","",1,0,false,,"Cala dei Santi, 58019 Monte Argentario GR, Italia",42.3707637,11.1885265,1108,1108,,,false,,,Mediterranean Red Coral,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
67137149,2019/08/24 3:10 PM CEST,2019-08-24,2019-08-24 13:10:00 UTC,Paris,3915612,slebris,2020-12-27 14:35:35 UTC,2020-12-27 16:43:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67137149,https://inaturalist-open-data.s3.amazonaws.com/photos/108396246/medium.jpeg?1609079717,,"",depth 25 m,2,0,false,,"Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, FR",43.1769078365,5.3730302342,4,4,,,false,,,Corail rouge de Méditerranée,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
67403229,2016/03/19 2:05 PM CET,2016-03-19,2016-03-19 13:05:00 UTC,Paris,345105,xrufray,2021-01-01 15:30:45 UTC,2021-01-01 15:33:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67403229,https://inaturalist-open-data.s3.amazonaws.com/photos/108892207/medium.jpg?1609515021,,"","",1,0,false,,"Alpes-Maritimes, Provence-Alpes-Côte d'Azur, FR",43.6922944991,7.3203663097,31,31,,,false,,,Corail rouge de Méditerranée,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
67404444,2017/05/21 5:13 PM CEST,2017-05-21,2017-05-21 15:13:00 UTC,Paris,345105,xrufray,2021-01-01 16:02:14 UTC,2021-01-02 13:35:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67404444,https://inaturalist-open-data.s3.amazonaws.com/photos/108894474/medium.jpg?1609516886,,"","",2,0,false,,"Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, FR",43.3281615693,5.045339773,8,8,,,false,,,Corail rouge de Méditerranée,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
67448538,2018/10/06 9:43 AM CEST,2018-10-06,2018-10-06 07:43:00 UTC,Paris,3915612,slebris,2021-01-02 09:50:04 UTC,2021-01-02 10:05:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/67448538,https://inaturalist-open-data.s3.amazonaws.com/photos/108976422/medium.jpeg?1609580982,,"",,1,0,false,,"Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, FR",43.3287150084,5.2368016548,15,15,,,false,,,Corail rouge de Méditerranée,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
68497853,2020/12/31 3:06 PM CET,2020-12-31,2020-12-31 14:06:00 UTC,Amsterdam,416151,bernatpescaire,2021-01-23 17:01:02 UTC,2021-01-23 17:35:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68497853,https://inaturalist-open-data.s3.amazonaws.com/photos/110927034/medium.jpg?1611421116,,"00 Medi Ambient, Anthozoa, Cnidaris, Corallium rubrum, Invertebrats, Octocorallia",,1,0,false,,"Girona, ES-CT, ES",42.0893809937,3.2482775772,11936,11936,,,false,,,Corail rouge de Méditerranée,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
68497855,2020/12/31 3:07 PM CET,2020-12-31,2020-12-31 14:07:00 UTC,Amsterdam,416151,bernatpescaire,2021-01-23 17:01:02 UTC,2021-01-23 17:35:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/68497855,https://inaturalist-open-data.s3.amazonaws.com/photos/110927041/medium.jpg?1611421121,,"00 Medi Ambient, Anthozoa, Cnidaris, Corallium rubrum, Invertebrats, Octocorallia",,1,0,false,,"Girona, ES-CT, ES",42.0893809937,3.2482775772,11936,11936,,,false,,,Corail rouge de Méditerranée,Corallium rubrum,Mediterranean Red Coral,Animalia,483326
